PROLIFIC_PID,Condition,Validity,PC,SSCRAwareness,S1TRAwareness,S1CRAwareness,S2Awareness
5638e8a444e8c8000ee86a35,S1-R Transfer,Valid,1,Aware,Not transferred,Aware,Aware
5638e8a444e8c8000ee86a35,S1-R Transfer,invalid,0,Aware,Not transferred,Aware,Aware
56a8bb427f2472000b9522f6,S1-R Transfer,Valid,0.2,Unaware,Not transferred,Aware,Unaware
56a8bb427f2472000b9522f6,S1-R Transfer,invalid,0.8,Unaware,Not transferred,Aware,Unaware
580decae240a2d0001e6bab3,S1-R Transfer,Valid,0.65,Aware,Not transferred,Aware,Unaware
580decae240a2d0001e6bab3,S1-R Transfer,invalid,0.35,Aware,Not transferred,Aware,Unaware
59e1e3a23e4b5a00016a9c17,S1-R Transfer,Valid,0.4,Aware,Not transferred,Aware,Aware
59e1e3a23e4b5a00016a9c17,S1-R Transfer,invalid,0.6,Aware,Not transferred,Aware,Aware
5aeb063b2f05b500013028a0,S1-R Transfer,Valid,0.35,Aware,Not transferred,Unaware,Unaware
5aeb063b2f05b500013028a0,S1-R Transfer,invalid,0.65,Aware,Not transferred,Unaware,Unaware
5b2870cf7f78160001465bf9,S1-R Transfer,Valid,0.75,Aware,Not transferred,Unaware,Unaware
5b2870cf7f78160001465bf9,S1-R Transfer,invalid,0.25,Aware,Not transferred,Unaware,Unaware
5b985404a15058000124e508,S1-R Transfer,Valid,0.45,Aware,Not transferred,Aware,Unaware
5b985404a15058000124e508,S1-R Transfer,invalid,0.55,Aware,Not transferred,Aware,Unaware
5bc9e924e642db0001d3a1c5,S1-R Transfer,Valid,0.75,Aware,Not transferred,Aware,Unaware
5bc9e924e642db0001d3a1c5,S1-R Transfer,invalid,0.25,Aware,Not transferred,Aware,Unaware
5c1942e200849900010afdcd,S1-R Transfer,Valid,0.65,Aware,Not transferred,Aware,Unaware
5c1942e200849900010afdcd,S1-R Transfer,invalid,0.35,Aware,Not transferred,Aware,Unaware
5c4d1a6c9ce35100019dbc88,S1-R Transfer,Valid,0.4,Aware,Not transferred,Aware,Aware
5c4d1a6c9ce35100019dbc88,S1-R Transfer,invalid,0.6,Aware,Not transferred,Aware,Aware
5cfc7489e289a80016b6e29f,S1-R Transfer,Valid,0.55,Aware,Not transferred,Aware,Aware
5cfc7489e289a80016b6e29f,S1-R Transfer,invalid,0.45,Aware,Not transferred,Aware,Aware
5d35989e71b4880017d5cc81,S1-R Transfer,Valid,0.75,Aware,Not transferred,Aware,Aware
5d35989e71b4880017d5cc81,S1-R Transfer,invalid,0.25,Aware,Not transferred,Aware,Aware
5da6139c002c29001335b5a2,S1-R Transfer,Valid,0.4,Aware,Not transferred,Aware,Unaware
5da6139c002c29001335b5a2,S1-R Transfer,invalid,0.6,Aware,Not transferred,Aware,Unaware
5de7ccc24b7cf973d7b05bfb,S1-R Transfer,Valid,0.4,Aware,Not transferred,Aware,Aware
5de7ccc24b7cf973d7b05bfb,S1-R Transfer,invalid,0.6,Aware,Not transferred,Aware,Aware
5e7f514bb18cb4000a68310d,S1-R Transfer,Valid,0.55,Aware,Not transferred,Unaware,Unaware
5e7f514bb18cb4000a68310d,S1-R Transfer,invalid,0.45,Aware,Not transferred,Unaware,Unaware
5e8b89d0afcb1606e761ef7f,S1-R Transfer,Valid,0.5,Unaware,Not transferred,Aware,Aware
5e8b89d0afcb1606e761ef7f,S1-R Transfer,invalid,0.5,Unaware,Not transferred,Aware,Aware
5e92178e8ee4fe54b65b7c39,S1-R Transfer,Valid,0.65,Aware,Not transferred,Aware,Aware
5e92178e8ee4fe54b65b7c39,S1-R Transfer,invalid,0.35,Aware,Not transferred,Aware,Aware
5eebb8b7011d13119025dcf0,S1-R Transfer,Valid,0.45,Aware,Not transferred,Aware,Aware
5eebb8b7011d13119025dcf0,S1-R Transfer,invalid,0.55,Aware,Not transferred,Aware,Aware
5ef1f7026343e20b931a0cb0,S1-R Transfer,Valid,0.45,Aware,Not transferred,Aware,Aware
5ef1f7026343e20b931a0cb0,S1-R Transfer,invalid,0.55,Aware,Not transferred,Aware,Aware
5f00fa2353b5c10c934298fa,S1-R Transfer,Valid,0.6,Unaware,Not transferred,Unaware,Unaware
5f00fa2353b5c10c934298fa,S1-R Transfer,invalid,0.4,Unaware,Not transferred,Unaware,Unaware
5f19e162d258ca0921678a36,S1-R Transfer,Valid,0.4,Unaware,Not transferred,Aware,Aware
5f19e162d258ca0921678a36,S1-R Transfer,invalid,0.6,Unaware,Not transferred,Aware,Aware
5f25e860dd98342ce97e7403,S1-R Transfer,Valid,0.5,Aware,Not transferred,Aware,Unaware
5f25e860dd98342ce97e7403,S1-R Transfer,invalid,0.5,Aware,Not transferred,Aware,Unaware
5f50732850c7c600098593df,S1-R Transfer,Valid,0.55,Aware,Not transferred,Aware,Aware
5f50732850c7c600098593df,S1-R Transfer,invalid,0.45,Aware,Not transferred,Aware,Aware
5f588fb87204220009eb684f,S1-R Transfer,Valid,0.3,Unaware,Not transferred,Unaware,Aware
5f588fb87204220009eb684f,S1-R Transfer,invalid,0.7,Unaware,Not transferred,Unaware,Aware
5f5b2bd1b2430a23a9674a55,S1-R Transfer,Valid,0.6,Aware,Not transferred,Aware,Aware
5f5b2bd1b2430a23a9674a55,S1-R Transfer,invalid,0.4,Aware,Not transferred,Aware,Aware
5f5f5013f947f6000bd8ddcb,S1-R Transfer,Valid,0.7,Aware,Not transferred,Aware,Unaware
5f5f5013f947f6000bd8ddcb,S1-R Transfer,invalid,0.3,Aware,Not transferred,Aware,Unaware
5f6e36c7f042f033d0f97bc1,S1-R Transfer,Valid,0.55,Aware,Not transferred,Unaware,Unaware
5f6e36c7f042f033d0f97bc1,S1-R Transfer,invalid,0.45,Aware,Not transferred,Unaware,Unaware
5fa3dc74fefcb501f909c68a,S1-R Transfer,Valid,0.25,Unaware,Not transferred,Unaware,Unaware
5fa3dc74fefcb501f909c68a,S1-R Transfer,invalid,0.75,Unaware,Not transferred,Unaware,Unaware
5ff792bdc0091e494e352e9b,S1-R Transfer,Valid,0.55,Aware,Not transferred,Aware,Unaware
5ff792bdc0091e494e352e9b,S1-R Transfer,invalid,0.45,Aware,Not transferred,Aware,Unaware
600de3bf29e45455345fa8b5,S1-R Transfer,Valid,0.5,Unaware,Not transferred,Aware,Aware
600de3bf29e45455345fa8b5,S1-R Transfer,invalid,0.5,Unaware,Not transferred,Aware,Aware
6034e8e3628ecdf282096ccf,S1-R Transfer,Valid,0.45,Unaware,Not transferred,Aware,Unaware
6034e8e3628ecdf282096ccf,S1-R Transfer,invalid,0.55,Unaware,Not transferred,Aware,Unaware
60603496c9a3d83273a11297,S1-R Transfer,Valid,0,Unaware,Not transferred,Aware,Aware
60603496c9a3d83273a11297,S1-R Transfer,invalid,1,Unaware,Not transferred,Aware,Aware
6066d08253019ea549b1dd37,S1-R Transfer,Valid,0.55,Aware,Not transferred,Aware,Aware
6066d08253019ea549b1dd37,S1-R Transfer,invalid,0.45,Aware,Not transferred,Aware,Aware
6085a4cc5f5f9ba1a3bfd785,S1-R Transfer,Valid,0.25,Aware,Not transferred,Unaware,Unaware
6085a4cc5f5f9ba1a3bfd785,S1-R Transfer,invalid,0.75,Aware,Not transferred,Unaware,Unaware
6088e7b7d327c199db58cf61,S1-R Transfer,Valid,0.65,Aware,Not transferred,Aware,Aware
6088e7b7d327c199db58cf61,S1-R Transfer,invalid,0.35,Aware,Not transferred,Aware,Aware
60967660853e8fcaf410748b,S1-R Transfer,Valid,0.5,Unaware,Not transferred,Unaware,Unaware
60967660853e8fcaf410748b,S1-R Transfer,invalid,0.5,Unaware,Not transferred,Unaware,Unaware
60a97537bf4b23dbaba42403,S1-R Transfer,Valid,0.5,Aware,Not transferred,Aware,Unaware
60a97537bf4b23dbaba42403,S1-R Transfer,invalid,0.5,Aware,Not transferred,Aware,Unaware
60abbbce67335394c314a00a,S1-R Transfer,Valid,0.85,Aware,Not transferred,Aware,Unaware
60abbbce67335394c314a00a,S1-R Transfer,invalid,0.15,Aware,Not transferred,Aware,Unaware
60b3950b9a1de417d37bb8d2,S1-R Transfer,Valid,0.45,Unaware,Not transferred,Aware,Unaware
60b3950b9a1de417d37bb8d2,S1-R Transfer,invalid,0.55,Unaware,Not transferred,Aware,Unaware
60b91383e5e9ab787f581f7c,S1-R Transfer,Valid,0.7,Aware,Not transferred,Aware,Unaware
60b91383e5e9ab787f581f7c,S1-R Transfer,invalid,0.3,Aware,Not transferred,Aware,Unaware
60cb63abf6f1053d9577e1fe,S1-R Transfer,Valid,0.6,Aware,Not transferred,Aware,Aware
60cb63abf6f1053d9577e1fe,S1-R Transfer,invalid,0.4,Aware,Not transferred,Aware,Aware
60d432ce6e413e7509dd4b78,S1-R Transfer,Valid,0.55,Aware,Not transferred,Unaware,Unaware
60d432ce6e413e7509dd4b78,S1-R Transfer,invalid,0.45,Aware,Not transferred,Unaware,Unaware
60dbd1a6bb3d411213cef6bc,S1-R Transfer,Valid,0.45,Aware,Not transferred,Aware,Unaware
60dbd1a6bb3d411213cef6bc,S1-R Transfer,invalid,0.55,Aware,Not transferred,Aware,Unaware
60df713d7718de2a4065b80b,S1-R Transfer,Valid,0.2,Unaware,Not transferred,Aware,Aware
60df713d7718de2a4065b80b,S1-R Transfer,invalid,0.8,Unaware,Not transferred,Aware,Aware
60f91d62ce12ac59792a3f6e,S1-R Transfer,Valid,0.4,Aware,Not transferred,Aware,Unaware
60f91d62ce12ac59792a3f6e,S1-R Transfer,invalid,0.6,Aware,Not transferred,Aware,Unaware
60fcebba7345a976efc9c080,S1-R Transfer,Valid,0.9,Aware,Not transferred,Aware,Aware
60fcebba7345a976efc9c080,S1-R Transfer,invalid,0.1,Aware,Not transferred,Aware,Aware
60fd080d5476f4a77211bafb,S1-R Transfer,Valid,0.8,Aware,Not transferred,Aware,Aware
60fd080d5476f4a77211bafb,S1-R Transfer,invalid,0.2,Aware,Not transferred,Aware,Aware
60fd7f782b0c5f0b6503302a,S1-R Transfer,Valid,0.6,Aware,Not transferred,Unaware,Unaware
60fd7f782b0c5f0b6503302a,S1-R Transfer,invalid,0.4,Aware,Not transferred,Unaware,Unaware
60fdaf5b539bcc4d2724d6a4,S1-R Transfer,Valid,0.6,Aware,Not transferred,Aware,Aware
60fdaf5b539bcc4d2724d6a4,S1-R Transfer,invalid,0.4,Aware,Not transferred,Aware,Aware
60fdb83606ba18b3b54215fa,S1-R Transfer,Valid,0.55,Aware,Not transferred,Aware,Unaware
60fdb83606ba18b3b54215fa,S1-R Transfer,invalid,0.45,Aware,Not transferred,Aware,Unaware
6102dacce29b57b1e268c13a,S1-R Transfer,Valid,0.7,Aware,Not transferred,Aware,Aware
6102dacce29b57b1e268c13a,S1-R Transfer,invalid,0.3,Aware,Not transferred,Aware,Aware
610826a7604223dea33406f1,S1-R Transfer,Valid,0.6,Aware,Not transferred,Aware,Aware
610826a7604223dea33406f1,S1-R Transfer,invalid,0.4,Aware,Not transferred,Aware,Aware
6108ac1e801e23ad2a25e7f0,S1-R Transfer,Valid,0.75,Unaware,Not transferred,Aware,Unaware
6108ac1e801e23ad2a25e7f0,S1-R Transfer,invalid,0.25,Unaware,Not transferred,Aware,Unaware
6111234ac8cfa49e38acbfb4,S1-R Transfer,Valid,0.55,Aware,Not transferred,Aware,Aware
6111234ac8cfa49e38acbfb4,S1-R Transfer,invalid,0.45,Aware,Not transferred,Aware,Aware
6114681d3dcdb4a295eec181,S1-R Transfer,Valid,0.7,Aware,Not transferred,Aware,Aware
6114681d3dcdb4a295eec181,S1-R Transfer,invalid,0.3,Aware,Not transferred,Aware,Aware
611645b93f0840eae41426f5,S1-R Transfer,Valid,0.5,Aware,Not transferred,Aware,Aware
611645b93f0840eae41426f5,S1-R Transfer,invalid,0.5,Aware,Not transferred,Aware,Aware
611ff6cc935b6de3fff0b896,S1-R Transfer,Valid,0.55,Aware,Not transferred,Aware,Aware
611ff6cc935b6de3fff0b896,S1-R Transfer,invalid,0.45,Aware,Not transferred,Aware,Aware
61436bd26638b05527a135cb,S1-R Transfer,Valid,0.7,Aware,Not transferred,Aware,Aware
61436bd26638b05527a135cb,S1-R Transfer,invalid,0.3,Aware,Not transferred,Aware,Aware
6147724c13bb365774e24af1,S1-R Transfer,Valid,0.5,Aware,Not transferred,Unaware,Unaware
6147724c13bb365774e24af1,S1-R Transfer,invalid,0.5,Aware,Not transferred,Unaware,Unaware
6165ab1d62dc48b90438ea1d,S1-R Transfer,Valid,0.65,Unaware,Not transferred,Aware,Aware
6165ab1d62dc48b90438ea1d,S1-R Transfer,invalid,0.35,Unaware,Not transferred,Aware,Aware
616fe12dc33a81b79f5d958a,S1-R Transfer,Valid,0.65,Unaware,Not transferred,Aware,Aware
616fe12dc33a81b79f5d958a,S1-R Transfer,invalid,0.35,Unaware,Not transferred,Aware,Aware
61f2ad60a09e72f23cbaf86d,S1-R Transfer,Valid,0.65,Aware,Not transferred,Aware,Unaware
61f2ad60a09e72f23cbaf86d,S1-R Transfer,invalid,0.35,Aware,Not transferred,Aware,Unaware
622b64053557c445641d767a,S1-R Transfer,Valid,0.65,Aware,Not transferred,Aware,Unaware
622b64053557c445641d767a,S1-R Transfer,invalid,0.35,Aware,Not transferred,Aware,Unaware
627e807715abf2361938fd68,S1-R Transfer,Valid,0.55,Aware,Not transferred,Aware,Aware
627e807715abf2361938fd68,S1-R Transfer,invalid,0.45,Aware,Not transferred,Aware,Aware
6286672d0165aad8f1386c27,S1-R Transfer,Valid,0.45,Aware,Not transferred,Aware,Aware
6286672d0165aad8f1386c27,S1-R Transfer,invalid,0.55,Aware,Not transferred,Aware,Aware
628bbdac4ba783931f487fd8,S1-R Transfer,Valid,0.55,Unaware,Not transferred,Unaware,Unaware
628bbdac4ba783931f487fd8,S1-R Transfer,invalid,0.45,Unaware,Not transferred,Unaware,Unaware
628fc75b2561940f60f57b37,S1-R Transfer,Valid,0.5,Aware,Not transferred,Unaware,Aware
628fc75b2561940f60f57b37,S1-R Transfer,invalid,0.5,Aware,Not transferred,Unaware,Aware
629082739390703f993b12bd,S1-R Transfer,Valid,0.4,Aware,Not transferred,Unaware,Unaware
629082739390703f993b12bd,S1-R Transfer,invalid,0.6,Aware,Not transferred,Unaware,Unaware
6294c3c360a62ab4c18a4ffd,S1-R Transfer,Valid,0.6,Aware,Not transferred,Unaware,Aware
6294c3c360a62ab4c18a4ffd,S1-R Transfer,invalid,0.4,Aware,Not transferred,Unaware,Aware
629552d66a0ad893867fa675,S1-R Transfer,Valid,0.8,Aware,Not transferred,Aware,Unaware
629552d66a0ad893867fa675,S1-R Transfer,invalid,0.2,Aware,Not transferred,Aware,Unaware
62964243018e89ba8d83384b,S1-R Transfer,Valid,0.65,Aware,Not transferred,Aware,Aware
62964243018e89ba8d83384b,S1-R Transfer,invalid,0.35,Aware,Not transferred,Aware,Aware
